student_id,age,gender,place_of_origin,high_school_avg,admission_test_score,first_semester_avg,socioeconomic_level,scholarship,loan,financial_aid,dropout
S1000,20,Female,Montería,3.09,72.0,2.92,3,No,Yes,No,Yes
S1001,19,Female,Barranquilla,2.52,84.0,4.54,1,No,Yes,No,Yes
S1002,20,Male,Montería,3.91,45.0,4.79,1,No,Yes,No,Yes
S1003,22,Other,Barranquilla,5.0,69.0,4.18,4,No,No,No,No
S1004,19,Female,,3.7,66.0,3.47,1,No,Yes,Yes,No
S1005,19,Male,Valledupar,4.16,76.0,2.75,2,,Yes,No,No
S1006,22,Male,Barranquilla,3.75,71.0,2.74,5,,No,No,Yes
S1007,21,Male,Montería,3.65,59.0,3.82,1,No,No,No,Yes
S1008,18,Male,Montería,4.21,64.0,3.73,1,No,Yes,No,Yes
S1009,20,Male,Cartagena,3.54,58.0,4.52,3,No,No,No,Yes
S1010,18,Male,Barranquilla,3.85,81.0,3.92,2,No,No,No,Yes
S1011,18,Male,Barranquilla,3.88,68.0,2.2,3,Yes,No,No,Yes
S1012,19,Male,Cartagena,3.33,91.0,,4,No,No,Yes,Yes
S1013,16,Female,Other,4.25,67.0,2.6,1,No,Yes,No,Yes
S1014,16,Male,Santa Marta,3.6,59.0,3.09,3,No,Yes,Yes,No
S1015,18,Female,Barranquilla,3.28,50.0,3.6,3,No,No,Yes,Yes
S1016,17,Male,Santa Marta,4.0,46.0,5.0,1,No,No,No,No
S1017,20,Other,Cartagena,3.21,49.0,5.0,3,Yes,No,No,No
S1018,17,Male,Valledupar,3.72,71.0,3.89,2,No,No,No,Yes
S1019,16,Male,,3.69,74.0,3.25,3,Yes,No,Yes,No
S1020,22,Female,Valledupar,4.3,49.0,3.83,1,No,No,No,Yes
S1021,19,Female,Cartagena,3.96,79.0,4.11,2,,No,No,No
S1022,19,Female,Other,3.69,62.0,3.14,2,No,No,No,Yes
S1023,16,Male,Barranquilla,4.15,70.0,4.84,4,Yes,Yes,No,No
S1024,18,Male,Santa Marta,4.46,87.0,3.58,1,No,No,No,Yes
S1025,19,Female,Other,4.01,79.0,3.8,2,Yes,Yes,No,Yes
S1026,17,Female,Barranquilla,3.71,65.0,3.93,2,No,Yes,No,No
S1027,20,Female,Other,2.98,57.0,3.74,4,Yes,No,Yes,Yes
S1028,18,Female,Santa Marta,3.11,42.0,4.07,3,Yes,Yes,No,Yes
S1029,18,Male,Barranquilla,3.53,59.0,2.91,3,No,Yes,No,Yes
S1030,18,Female,Barranquilla,3.36,65.0,2.95,4,No,Yes,No,No
S1031,23,Male,Santa Marta,3.6,56.0,2.52,5,No,No,Yes,No
S1032,19,Male,Barranquilla,3.73,66.0,3.75,2,No,No,No,No
S1033,17,Male,Cartagena,0.6,69.0,4.02,3,No,No,No,Yes
S1034,21,Female,Barranquilla,3.66,65.0,3.77,4,No,Yes,No,No
S1035,17,Male,Santa Marta,3.97,60.0,4.74,6,No,No,Yes,No
S1036,19,Male,Barranquilla,3.74,70.0,3.4,5,No,No,No,No
S1037,16,Female,Montería,2.61,73.0,3.93,2,No,Yes,No,Yes
S1038,16,Male,Other,3.18,55.0,2.53,1,No,No,No,Yes
S1039,19,Female,Other,3.62,85.0,3.09,3,Yes,Yes,Yes,No
S1040,20,Male,Valledupar,3.03,67.0,,4,No,No,No,No
S1041,19,Female,Barranquilla,4.03,68.0,4.08,3,Yes,No,No,No
S1042,19,Female,Valledupar,4.54,76.0,3.16,3,No,No,Yes,Yes
S1043,18,Male,Barranquilla,4.37,71.0,3.34,4,Yes,Yes,Yes,Yes
S1044,16,Male,Barranquilla,3.58,79.0,2.19,2,No,No,No,No
S1045,18,Male,Barranquilla,4.52,71.0,3.11,5,No,No,Yes,No
S1046,18,Male,Soledad,3.78,61.0,4.11,2,Yes,No,Yes,No
S1047,21,Other,Valledupar,3.51,72.0,3.86,2,Yes,No,No,Yes
S1048,20,Male,Santa Marta,3.36,54.0,3.8,2,Yes,No,No,Yes
S1049,16,Female,Soledad,3.53,69.0,3.44,4,No,Yes,Yes,Yes
S1050,20,Male,Barranquilla,3.49,,3.41,1,No,No,No,No
S1051,18,Female,Other,3.79,66.0,2.87,1,Yes,No,Yes,Yes
S1052,18,Female,Soledad,3.79,66.0,,6,No,No,Yes,Yes
S1053,20,Female,Soledad,3.7,45.0,3.74,1,No,Yes,Yes,Yes
S1054,21,Male,Barranquilla,3.94,61.0,3.79,3,No,No,No,Yes
S1055,21,Male,Valledupar,4.35,69.0,2.98,3,No,Yes,Yes,No
S1056,17,Male,Santa Marta,4.22,70.0,1.68,3,No,No,Yes,Yes
S1057,18,Female,Barranquilla,5.7,56.0,4.28,3,No,No,No,Yes
S1058,20,Female,Barranquilla,2.3,83.0,3.02,2,Yes,No,No,Yes
S1059,21,Female,Santa Marta,4.21,58.0,2.71,3,Yes,Yes,Yes,No
S1060,18,Male,Santa Marta,2.95,,3.95,2,Yes,No,No,No
S1061,19,Female,Barranquilla,3.58,73.0,3.09,3,Yes,Yes,Yes,No
S1062,17,Female,Other,3.06,60.0,4.25,1,No,Yes,No,Yes
S1063,17,Male,Barranquilla,2.71,89.0,3.89,3,No,No,No,Yes
S1064,21,Male,Soledad,4.0,54.0,3.95,1,No,No,No,Yes
S1065,22,Female,Other,4.12,79.0,2.31,2,Yes,No,No,Yes
S1066,19,Female,Soledad,3.38,80.0,4.37,1,No,No,No,Yes
S1067,21,Female,Santa Marta,2.27,60.0,3.61,1,No,No,Yes,Yes
S1068,20,Male,Soledad,3.4,85.0,3.1,4,,No,No,No
S1069,18,Female,Barranquilla,3.92,65.0,3.51,2,Yes,Yes,Yes,No
S1070,20,Male,Other,2.89,71.0,1.98,5,No,No,No,Yes
S1071,22,Male,Soledad,3.8,71.0,,6,No,No,No,Yes
S1072,19,Male,Other,3.69,66.0,2.58,3,No,Yes,No,Yes
S1073,22,Female,Barranquilla,4.02,78.0,2.32,1,No,Yes,No,Yes
S1074,16,Female,Barranquilla,3.77,78.0,2.18,2,Yes,No,No,No
S1075,21,Female,Barranquilla,3.16,47.0,,4,Yes,Yes,No,Yes
S1076,19,Male,Santa Marta,4.36,84.0,2.9,2,No,Yes,Yes,Yes
S1077,18,Female,Soledad,3.61,48.0,4.63,1,No,Yes,No,No
S1078,19,Male,Montería,3.68,80.0,2.97,3,,No,No,No
S1079,16,Female,Soledad,3.19,82.0,2.03,4,No,No,No,Yes
S1080,19,Male,Other,3.46,,2.51,4,Yes,Yes,No,Yes
S1081,20,Male,Barranquilla,3.21,63.0,4.39,1,No,No,Yes,Yes
S1082,22,Male,Montería,3.6,55.0,3.28,3,No,No,No,Yes
S1083,18,Male,Valledupar,4.64,65.0,2.96,2,No,No,No,No
S1084,17,Female,Valledupar,2.95,64.0,3.53,1,No,Yes,Yes,No
S1085,18,Female,Montería,2.81,77.0,3.8,5,No,No,No,No
S1086,21,Male,Valledupar,4.51,84.0,4.29,2,No,No,No,Yes
S1087,20,Female,Santa Marta,3.58,85.0,4.56,2,No,No,No,No
S1088,18,Male,Barranquilla,3.33,61.0,3.11,1,No,Yes,No,Yes
S1089,20,Female,Barranquilla,4.27,65.0,2.34,5,No,No,Yes,Yes
